"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"RRD","R.R. Donnelley & Sons Company","2.13","$150.8M","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/rrd",
"RCM","R1 RCM Inc.","11.89","$1.32B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/rcm",
"RMED","Ra Medical Systems, Inc.","3.35","$43.31M","2018","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/rmed",
"RARX","Ra Pharmaceuticals, Inc.","23.9","$1.01B","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rarx",
"RADA","RADA Electronic Industries Ltd.","3.34","$127.14M","n/a","Technology","Electronic Components","https://www.nasdaq.com/symbol/rada",
"RDCM","Radcom Ltd.","8.3","$114.03M","1997","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/rdcm",
"RDN","Radian Group Inc.","23.33","$4.85B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/rdn",
"RLGT","Radiant Logistics, Inc.","6.17","$305.86M","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/rlgt",
"RDUS","Radius Health, Inc.","24.45","$1.13B","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rdus",
"RDNT","RadNet, Inc.","13.02","$652.04M","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/rdnt",
"RDWR","Radware Ltd.","24.92","$1.17B","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rdwr",
"RFL","Rafael Holdings, Inc.","24.06","$335.15M","2018","Finance","Real Estate","https://www.nasdaq.com/symbol/rfl",
"RL","Ralph Lauren Corporation","112.65","$8.79B","1997","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/rl",
"METC","Ramaco Resources, Inc.","5.43","$221.72M","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/metc",
"RMBS","Rambus, Inc.","11.79","$1.3B","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/rmbs",
"RAND","Rand Capital Corporation","2.721","$17.2M","n/a","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/rand",
"RNDB","Randolph Bancorp, Inc.","14.93","$87.99M","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/rndb",
"RRC","Range Resources Corporation","6.8","$1.71B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rrc",
"RNGR","Ranger Energy Services, Inc.","5.97","$92.02M","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/rngr",
"PACK","Ranpak Holdings Corp","9.3","$500.98M","2018","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/pack",
"PACK.WS","Ranpak Holdings Corp","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pack.ws",
"RPD","Rapid7, Inc.","54.54","$2.63B","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/rpd",
"RTLR","Rattler Midstream LP","19.1","$2.89B","2019","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/rtlr",
"RAVE","Rave Restaurant Group, Inc.","2.64","$39.79M","n/a","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/rave",
"RAVN","Raven Industries, Inc.","35","$1.26B","n/a","Capital Goods","Specialty Chemicals","https://www.nasdaq.com/symbol/ravn",
"RJF","Raymond James Financial, Inc.","81.13","$11.42B","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/rjf",
"RYAM","Rayonier Advanced Materials Inc.","6.55","$326.19M","2014","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ryam",
"RYAM^A","Rayonier Advanced Materials Inc.","52.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ryam^a",
"RYN","Rayonier Inc.","30.69","$3.98B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ryn",
"RTN","Raytheon Company","179.08","$49.88B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/rtn",
"RBB","RBB Bancorp","19.63","$394.05M","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/rbb",
"ROLL","RBC Bearings Incorporated","154.38","$3.83B","2005","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/roll",
"RICK","RCI Hospitality Holdings, Inc.","17.27","$167.35M","1995","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/rick",
"RCMT","RCM Technologies, Inc.","3.25","$41.45M","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/rcmt",
"RMAX","RE/MAX Holdings, Inc.","32.01","$570.03M","2013","Finance","Real Estate","https://www.nasdaq.com/symbol/rmax",
"RDI","Reading International Inc","13.35","$306.55M","n/a","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/rdi",
"RDIB","Reading International Inc","23.25","$533.88M","n/a","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/rdib",
"RC","Ready Capital Corporation","15.2","$677.79M","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rc",
"RCA","Ready Capital Corporation","26.74","n/a","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rca",
"RCP","Ready Capital Corporation","25.9","n/a","2018","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rcp",
"BCNA","Reality Shares Nasdaq NexGen Economy China ETF","21.365","$2.14M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bcna",
"BLCN","Reality Shares Nasdaq NextGen Economy ETF","23.08","$71.55M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/blcn",
"RLM","Realm Therapeutics plc","2.82","$13.15M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rlm",
"RNWK","RealNetworks, Inc.","1.9","$72.09M","1997","Technology","EDP Services","https://www.nasdaq.com/symbol/rnwk",
"RLGY","Realogy Holdings Corp.","7.34","$838.32M","2012","Finance","Real Estate","https://www.nasdaq.com/symbol/rlgy",
"RP","RealPage, Inc.","59.44","$5.62B","2010","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/rp",
"O","Realty Income Corporation","73.22","$23.17B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/o",
"RETA","Reata Pharmaceuticals, Inc.","84.98","$2.55B","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/reta",
"UTG","Reaves Utility Income Fund","35.46","$1.73B","2004","n/a","n/a","https://www.nasdaq.com/symbol/utg",
"RCON","Recon Technology, Ltd.","0.7771","$16.27M","2009","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/rcon",
"REPH","Recro Pharma, Inc.","9.78","$216.46M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/reph",
"RHT","Red Hat, Inc.","188","$33.42B","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/rht",
"RLH","Red Lion Hotels Corporation","7.43","$183.68M","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/rlh",
"RRBI","Red River Bancshares, Inc.","48.05","$350.78M","2019","Finance","Major Banks","https://www.nasdaq.com/symbol/rrbi",
"RRGB","Red Robin Gourmet Burgers, Inc.","31.09","$403.12M","2002","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/rrgb",
"RRR","Red Rock Resorts, Inc.","21.78","$2.55B","2016","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/rrr",
"RDVT","Red Violet, Inc.","12.5","$128.58M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/rdvt",
"RDFN","Redfin Corporation","18.4","$1.67B","2017","Finance","Real Estate","https://www.nasdaq.com/symbol/rdfn",
"RDHL","Redhill Biopharma Ltd.","7.04","$154.43M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rdhl",
"RWT","Redwood Trust, Inc.","16.24","$1.57B","1995","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rwt",
"RBZ","Reebonz Holding Limited","4.55","$22.01M","2017","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/rbz",
"REED","Reeds, Inc.","3.66","$123.2M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/reed",
"RBC","Regal Beloit Corporation","79.99","$3.42B","n/a","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/rbc",
"RWGE","Regalwood Global Energy Ltd.","10.25","$384.38M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/rwge",
"RWGE.U","Regalwood Global Energy Ltd.","n/a","n/a","2017","n/a","n/a","https://www.nasdaq.com/symbol/rwge.u",
"RWGE.WS","Regalwood Global Energy Ltd.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rwge.ws",
"REG","Regency Centers Corporation","69.74","$11.68B","1993","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/reg",
"REGN","Regeneron Pharmaceuticals, Inc.","310.83","$34.08B","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/regn",
"RGNX","REGENXBIO Inc.","51.95","$1.9B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/rgnx",
"RHE^A","Regional Health Properties, Inc.","3.05","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rhe^a",
"RHE","Regional Health Properties, Inc.","2.08","$3.51M","2017","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/rhe",
"RM","Regional Management Corp.","25.4","$303.49M","2012","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/rm",
"RF","Regions Financial Corporation","14.57","$14.76B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/rf",
"RF^A","Regions Financial Corporation","25.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rf^a",
"RF^B","Regions Financial Corporation","28.16","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rf^b",
"RF^C","Regions Financial Corporation","25.76","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rf^c",
"RGS","Regis Corporation","18.23","$716.92M","1991","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/rgs",
"RGLS","Regulus Therapeutics Inc.","1.13","$23.22M","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rgls",
"RGA","Reinsurance Group of America, Incorporated","152.84","$9.56B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/rga",
"RZA","Reinsurance Group of America, Incorporated","26.77","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/rza",
"RZB","Reinsurance Group of America, Incorporated","26.81","n/a","2016","Finance","Life Insurance","https://www.nasdaq.com/symbol/rzb",
"REKR","Rekor Systems, Inc.","1.49","$28.86M","n/a","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/rekr",
"RS","Reliance Steel & Aluminum Co.","89.98","$6.05B","1994","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/rs",
"RBNC","Reliant Bancorp, Inc.","22.86","$262.82M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/rbnc",
"RELV","Reliv&#39; International, Inc.","5.16","$9.01M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/relv",
"RELX","RELX PLC","24.43","$47.61B","2015","Consumer Services","Publishing","https://www.nasdaq.com/symbol/relx",
"MARK","Remark Holdings, Inc.","0.9982","$42.93M","n/a","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/mark",
"RNR","RenaissanceRe Holdings Ltd.","181.65","$8.02B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/rnr",
"RNR^C","RenaissanceRe Holdings Ltd.","26.29","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnr^c",
"RNR^E","RenaissanceRe Holdings Ltd.","25.18","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnr^e",
"RNR^F","RenaissanceRe Holdings Ltd.","25.61","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnr^f",
"RNST","Renasant Corporation","36.3","$2.13B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/rnst",
"SOL","Renesola Ltd.","1.28","$48.74M","2008","Technology","Semiconductors","https://www.nasdaq.com/symbol/sol",
"REGI","Renewable Energy Group, Inc.","16.07","$604.54M","2012","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/regi",
"RCG","RENN Fund, Inc.","1.54","$9.17M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rcg",
"RENN","Renren Inc.","0.9973","$69.32M","2011","Technology","EDP Services","https://www.nasdaq.com/symbol/renn",
"RCII","Rent-A-Center Inc.","25.16","$1.36B","1995","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/rcii",
"RPLA","Replay Acquisition Corp.","9.8","$352.19M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/rpla",
"RPLA.U","Replay Acquisition Corp.","n/a","n/a","2019","n/a","n/a","https://www.nasdaq.com/symbol/rpla.u",
"RPLA.WS","Replay Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rpla.ws",
"RGEN","Repligen Corporation","81.1","$3.89B","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/rgen",
"REPL","Replimune Group, Inc.","12.99","$411.09M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/repl",
"RBCAA","Republic Bancorp, Inc.","46.29","$969.25M","1998","Finance","Major Banks","https://www.nasdaq.com/symbol/rbcaa",
"FRBK","Republic First Bancorp, Inc.","5","$294.21M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/frbk",
"RSG","Republic Services, Inc.","86.68","$27.88B","1998","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/rsg",
"REFR","Research Frontiers Incorporated","3.29","$101.96M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/refr",
"REZI","Resideo Technologies, Inc.","21.1","$2.59B","2018","Capital Goods","Wholesale Distributors","https://www.nasdaq.com/symbol/rezi",
